Id;TipoOperacion;Region;Comuna;EstaPublicada;EstaEliminada;CodigoPropiedad;Dormitorios;Banos;AñoConstruccion;FechaPublicacionDespliegue;MetrosUtiles;MetrosConstruidos;MetrosTerreno;MetrosTerraza;PrecioDesde;PrecioHasta;PrecioPesos;PrecioUF;Latitud;Longitud;CantidadVisitas;CantidadFavoritos;CantidadInteresados;Exitosa;NombreCorredora;UriFicha
319122;Venta Nuevo;Bernardo OHiggins ;Machalí;true;false;;3;3;0;29-12-2014;115.0;115.0;179.97;0.0;3961.0;3961.0;1.09188094E8;3961.0;-34.172701;-70.686175;3982;2;403;true;;
1134191;Venta Nuevo;Metropolitana;La Reina;true;false;;4;4;0;10-12-2018;310.0;310.0;591.06;0.0;19900.0;19900.0;5.48559221E8;19900.0;-33.442828;-70.519115;103;1;9;true;;http://empresastarget.cl/proyectos/el-escultor-home/
321289;Venta Nuevo;Bernardo OHiggins ;Machalí;true;false;;3;2;0;31-12-2014;75.6;75.6;75.6;0.0;2275.0;2275.0;6.2712172E7;2275.0;-34.175377;-70.654374;6266;12;1184;true;;
199006;Venta Nuevo;Biobío;Talcahuano;true;false;;3;3;0;21-01-2013;95.71;95.71;153.45;0.0;3740.0;3740.0;1.03096054E8;3740.0;-36.77638;-73.053638;5734;6;454;true;;
412007;Venta Nuevo;Valparaiso;San Antonio;true;false;;4;2;0;23-07-2015;57.33;57.33;142.08;0.0;1550.0;1550.0;4.2726974E7;1550.0;-33.639854;-71.572562;13448;10;1254;true;;
1067367;Venta Nuevo;Bernardo OHiggins ;Rancagua;true;false;;3;1;0;14-08-2018;60.0;60.0;60.0;0.0;1627.0;1627.0;4.484954E7;1627.0;-34.176276;-70.771122;598;3;69;true;;http://www.socovesa.cl/proyectos/prados-de-santa-clara/
560966;Venta Nuevo;Bernardo OHiggins ;Machalí;true;false;;3;2;0;28-04-2016;85.0;85.0;170.13;0.0;2936.0;2936.0;8.0933159E7;2936.0;-34.172639;-70.686175;1506;2;301;true;;
962451;Venta Nuevo;Coquimbo;Coquimbo;true;false;;2;1;0;05-03-2018;53.37;53.37;133.0;0.0;1732.0;1732.0;4.7743948E7;1732.0;-30.005607;-71.329947;1877;1;448;true;;
826309;Venta Nuevo;Metropolitana;Lampa;true;false;;3;2;0;06-07-2017;65.0;65.0;160.0;0.0;2555.0;2555.0;7.0430593E7;2555.0;-33.33749;-70.816001;3245;3;831;true;;
510954;Venta Nuevo;Metropolitana;Pudahuel;true;false;;3;2;0;16-02-2016;110.0;110.0;412.0;0.0;5510.0;5510.0;1.51887502E8;5510.0;-33.456163;-70.823963;6296;7;1172;true;;
